temperature_C,phase_shift_rad
51.2,0.262
51.25,0.2625
51.3,0.263
51.35,0.2635
51.4,0.264
51.45,0.2645
51.5,0.265
51.55,0.2655
51.6,0.266
51.65,0.2665
51.7,0.267
51.75,0.2675
51.8,0.268
51.85,0.2685
51.9,0.269
51.95,0.2695
52.0,0.27
52.05,0.2705
52.1,0.271
52.15,0.2715
52.2,0.272
52.25,0.2725
52.3,0.273
52.35,0.2735
52.4,0.274
52.45,0.2745
52.5,0.275
52.55,0.2755
52.6,0.276
52.65,0.2765
52.7,0.277
52.75,0.2775
52.8,0.278
52.85,0.2785
52.9,0.279
52.95,0.2795
53.0,0.28
53.05,0.2805
53.1,0.281
53.15,0.2815
53.2,0.282
53.25,0.2825
53.3,0.283
53.35,0.2835
53.4,0.284
53.45,0.2845
53.5,0.285
53.55,0.2855
53.6,0.286
53.65,0.2865
53.7,0.287
53.75,0.2875
53.8,0.288
53.85,0.2885
53.9,0.289
53.95,0.2895
54.0,0.29
54.05,0.2905
54.1,0.291
54.15,0.2915
54.2,0.292
54.25,0.2925
54.3,0.293
54.35,0.2935
54.4,0.294
54.45,0.2945
54.5,0.295
54.55,0.2955
54.6,0.296
54.65,0.2965
54.7,0.297
54.75,0.2975
54.8,0.298
54.85,0.2985
54.9,0.299
54.95,0.2995
55.0,0.3
55.05,0.3005
55.1,0.301
55.15,0.3015
55.2,0.302
55.25,0.3025
55.3,0.303
55.35,0.3035
55.4,0.304
55.45,0.3045
55.5,0.305
55.55,0.3055
55.6,0.306
55.65,0.3065
55.7,0.307
55.75,0.3075
55.8,0.308
55.85,0.3085
55.9,0.309
55.95,0.3095
56.0,0.31
56.05,0.3105
56.1,0.311
56.15,0.3115
56.2,0.312
56.25,0.3125
56.3,0.313
56.35,0.3135
56.4,0.314
56.45,0.3145
56.5,0.315
56.55,0.3155
56.6,0.316
56.65,0.3165
56.7,0.317
56.75,0.3175
56.8,0.318
56.85,0.3185
56.9,0.319
56.95,0.3195
57.0,0.32
57.05,0.3205
57.1,0.321
57.15,0.3215
57.2,0.322
57.25,0.3225
57.3,0.323
57.35,0.3235
57.4,0.324
57.45,0.3245
57.5,0.325
57.55,0.3255
57.6,0.326
57.65,0.3265
57.7,0.327
57.75,0.3275
57.8,0.328
57.85,0.3285
57.9,0.329
57.95,0.3295
58.0,0.33
58.05,0.3305
58.1,0.331
58.15,0.3315
58.2,0.332
58.25,0.3325
58.3,0.333
58.35,0.3335
58.4,0.334
58.45,0.3345
58.5,0.335
58.55,0.3355
58.6,0.336
58.65,0.3365
58.7,0.337
58.75,0.3375
58.8,0.338
58.85,0.3385
58.9,0.339
58.95,0.3395
59.0,0.34
59.05,0.3405
59.1,0.341
59.15,0.3415
59.2,0.342
59.25,0.3425
59.3,0.343
59.35,0.3435
59.4,0.344
59.45,0.3445
59.5,0.345
59.55,0.3455
59.6,0.346
59.65,0.3465
59.7,0.347
59.75,0.3475
59.8,0.348
59.85,0.3485
59.9,0.349
59.95,0.3495
60.0,0.35
60.05,0.3505
60.1,0.351
60.15,0.3515
60.2,0.352
60.25,0.3525
60.3,0.353
60.35,0.3535
60.4,0.354
60.45,0.3545
60.5,0.355
60.55,0.3555
60.6,0.356
60.65,0.3565
60.7,0.357
60.75,0.3575
60.8,0.358
60.85,0.3585
60.9,0.359
60.95,0.3595
61.0,0.36
61.05,0.3605
61.1,0.361
61.15,0.3615
61.2,0.362
