phase_rad,port0_transmission,port1_transmission
0.46746899,0.94635585,0.05364415
0.46872562,0.94607236,0.05392764
0.46998226,0.94578816,0.05421184
0.4712389,0.94550326,0.05449674
0.47249554,0.94521766,0.05478234
0.47375217,0.94493135,0.05506865
0.47500881,0.94464435,0.05535565
0.47626545,0.94435664,0.05564336
0.47752208,0.94406822,0.05593178
0.47877872,0.94377911,0.05622089
0.48003536,0.9434893,0.0565107
0.48129199,0.94319878,0.05680122
0.48254863,0.94290757,0.05709243
0.48380527,0.94261566,0.05738434
0.48506191,0.94232304,0.05767696
0.48631854,0.94202973,0.05797027
0.48757518,0.94173572,0.05826428
0.48883182,0.94144102,0.05855898
0.49008845,0.94114561,0.05885439
0.49134509,0.94084951,0.05915049
0.49260173,0.94055272,0.05944728
0.49385837,0.94025522,0.05974478
0.495115,0.93995704,0.06004296
0.49637164,0.93965816,0.06034184
0.49762828,0.93935858,0.06064142
0.49888491,0.93905831,0.06094169
0.50014155,0.93875735,0.06124265
0.50139819,0.93845569,0.06154431
0.50265482,0.93815334,0.06184666
0.50391146,0.9378503,0.0621497
0.5051681,0.93754657,0.06245343
0.50642474,0.93724214,0.06275786
0.50768137,0.93693703,0.06306297
0.50893801,0.93663123,0.06336877
0.51019465,0.93632473,0.06367527
0.51145128,0.93601755,0.06398245
0.51270792,0.93570968,0.06429032
0.51396456,0.93540112,0.06459888
0.5152212,0.93509188,0.06490812
0.51647783,0.93478194,0.06521806
0.51773447,0.93447132,0.06552868
0.51899111,0.93416002,0.06583998
0.52024774,0.93384803,0.06615197
0.52150438,0.93353535,0.06646465
0.52276102,0.93322199,0.06677801
0.52401765,0.93290794,0.06709206
0.52527429,0.93259322,0.06740678
0.52653093,0.9322778,0.0677222
0.52778757,0.93196171,0.06803829
0.5290442,0.93164493,0.06835507
0.53030084,0.93132747,0.06867253
0.53155748,0.93100933,0.06899067
0.53281411,0.93069051,0.06930949
0.53407075,0.93037101,0.06962899
0.53532739,0.93005083,0.06994917
0.53658403,0.92972997,0.07027003
0.53784066,0.92940844,0.07059156
0.5390973,0.92908622,0.07091378
0.54035394,0.92876333,0.07123667
0.54161057,0.92843976,0.07156024
0.54286721,0.92811551,0.07188449
0.54412385,0.92779059,0.07220941
0.54538048,0.92746499,0.07253501
0.54663712,0.92713872,0.07286128
0.54789376,0.92681177,0.07318823
0.5491504,0.92648415,0.07351585
0.55040703,0.92615585,0.07384415
0.55166367,0.92582688,0.07417312
0.55292031,0.92549724,0.07450276
0.55417694,0.92516693,0.07483307
0.55543358,0.92483594,0.07516406
0.55669022,0.92450429,0.07549571
0.55794686,0.92417196,0.07582804
0.55920349,0.92383897,0.07616103
0.56046013,0.9235053,0.0764947
0.56171677,0.92317097,0.07682903
0.5629734,0.92283597,0.07716403
0.56423004,0.9225003,0.0774997
0.56548668,0.92216396,0.07783604
0.56674331,0.92182696,0.07817304
0.56799995,0.92148929,0.07851071
0.56925659,0.92115096,0.07884904
0.57051323,0.92081196,0.07918804
0.57176986,0.92047229,0.07952771
0.5730265,0.92013196,0.07986804
0.57428314,0.91979097,0.08020903
0.57553977,0.91944932,0.08055068
0.57679641,0.919107,0.080893
0.57805305,0.91876402,0.08123598
0.57930969,0.91842038,0.08157962
0.58056632,0.91807608,0.08192392
0.58182296,0.91773112,0.08226888
0.5830796,0.9173855,0.0826145
0.58433623,0.91703922,0.08296078
0.58559287,0.91669228,0.08330772
0.58684951,0.91634468,0.08365532
0.58810614,0.91599643,0.08400357
0.58936278,0.91564752,0.08435248
0.59061942,0.91529795,0.08470205
0.59187606,0.91494773,0.08505227
0.59313269,0.91459685,0.08540315
0.59438933,0.91424532,0.08575468
0.59564597,0.91389313,0.08610687
0.5969026,0.91354029,0.08645971
0.59815924,0.91318679,0.08681321
0.59941588,0.91283265,0.08716735
0.60067252,0.91247785,0.08752215
0.60192915,0.9121224,0.0878776
0.60318579,0.9117663,0.0882337
0.60444243,0.91140955,0.08859045
0.60569906,0.91105215,0.08894785
0.6069557,0.9106941,0.0893059
0.60821234,0.9103354,0.0896646
0.60946897,0.90997605,0.09002395
0.61072561,0.90961606,0.09038394
0.61198225,0.90925542,0.09074458
0.61323889,0.90889413,0.09110587
0.61449552,0.9085322,0.0914678
0.61575216,0.90816963,0.09183037
0.6170088,0.9078064,0.0921936
0.61826543,0.90744254,0.09255746
0.61952207,0.90707803,0.09292197
0.62077871,0.90671288,0.09328712
0.62203535,0.90634708,0.09365292
0.62329198,0.90598065,0.09401935
0.62454862,0.90561357,0.09438643
0.62580526,0.90524585,0.09475415
0.62706189,0.90487749,0.09512251
0.62831853,0.9045085,0.0954915
0.62957517,0.90413886,0.09586114
0.6308318,0.90376859,0.09623141
0.63208844,0.90339768,0.09660232
0.63334508,0.90302613,0.09697387
0.63460172,0.90265394,0.09734606
0.63585835,0.90228112,0.09771888
0.63711499,0.90190767,0.09809233
0.63837163,0.90153358,0.09846642
0.63962826,0.90115885,0.09884115
0.6408849,0.90078349,0.09921651
0.64214154,0.9004075,0.0995925
0.64339818,0.90003088,0.09996912
0.64465481,0.89965362,0.10034638
0.64591145,0.89927574,0.10072426
0.64716809,0.89889722,0.10110278
0.64842472,0.89851807,0.10148193
0.64968136,0.8981383,0.1018617
0.650938,0.89775789,0.10224211
0.65219463,0.89737686,0.10262314
0.65345127,0.8969952,0.1030048
0.65470791,0.89661291,0.10338709
0.65596455,0.89623,0.10377
0.65722118,0.89584646,0.10415354
0.65847782,0.8954623,0.1045377
0.65973446,0.89507751,0.10492249
0.66099109,0.89469209,0.10530791
0.66224773,0.89430606,0.10569394
0.66350437,0.8939194,0.1060806
0.66476101,0.89353212,0.10646788
0.66601764,0.89314422,0.10685578
0.66727428,0.89275569,0.10724431
0.66853092,0.89236655,0.10763345
0.66978755,0.89197679,0.10802321
0.67104419,0.89158641,0.10841359
0.67230083,0.89119541,0.10880459
0.67355746,0.89080379,0.10919621
0.6748141,0.89041155,0.10958845
0.67607074,0.8900187,0.1099813
0.67732738,0.88962523,0.11037477
0.67858401,0.88923115,0.11076885
0.67984065,0.88883645,0.11116355
0.68109729,0.88844114,0.11155886
0.68235392,0.88804522,0.11195478
0.68361056,0.88764868,0.11235132
0.6848672,0.88725153,0.11274847
0.68612384,0.88685377,0.11314623
0.68738047,0.8864554,0.1135446
0.68863711,0.88605641,0.11394359
0.68989375,0.88565682,0.11434318
0.69115038,0.88525662,0.11474338
0.69240702,0.88485581,0.11514419
0.69366366,0.88445439,0.11554561
0.69492029,0.88405237,0.11594763
0.69617693,0.88364974,0.11635026
0.69743357,0.8832465,0.1167535
0.69869021,0.88284266,0.11715734
0.69994684,0.88243822,0.11756178
0.70120348,0.88203317,0.11796683
0.70246012,0.88162751,0.11837249
0.70371675,0.88122126,0.11877874
0.70497339,0.8808144,0.1191856
0.70623003,0.88040694,0.11959306
0.70748667,0.87999888,0.12000112
0.7087433,0.87959022,0.12040978
0.70999994,0.87918096,0.12081904
0.71125658,0.8787711,0.1212289
0.71251321,0.87836064,0.12163936
0.71376985,0.87794959,0.12205041
0.71502649,0.87753794,0.12246206
0.71628313,0.87712569,0.12287431
0.71753976,0.87671285,0.12328715
0.7187964,0.87629941,0.12370059
0.72005304,0.87588538,0.12411462
0.72130967,0.87547075,0.12452925
0.72256631,0.87505553,0.12494447
0.72382295,0.87463972,0.12536028
0.72507958,0.87422332,0.12577668
0.72633622,0.87380633,0.12619367
0.72759286,0.87338875,0.12661125
0.7288495,0.87297057,0.12702943
0.73010613,0.87255181,0.12744819
0.73136277,0.87213246,0.12786754
0.73261941,0.87171252,0.12828748
0.73387604,0.871292,0.128708
0.73513268,0.87087089,0.12912911
0.73638932,0.87044919,0.12955081
0.73764596,0.87002691,0.12997309
0.73890259,0.86960404,0.13039596
0.74015923,0.86918059,0.13081941
0.74141587,0.86875656,0.13124344
0.7426725,0.86833194,0.13166806
0.74392914,0.86790675,0.13209325
0.74518578,0.86748097,0.13251903
0.74644241,0.86705461,0.13294539
0.74769905,0.86662767,0.13337233
0.74895569,0.86620016,0.13379984
0.75021233,0.86577206,0.13422794
0.75146896,0.86534339,0.13465661
0.7527256,0.86491414,0.13508586
0.75398224,0.86448431,0.13551569
0.75523887,0.86405391,0.13594609
0.75649551,0.86362294,0.13637706
0.75775215,0.86319139,0.13680861
0.75900879,0.86275926,0.13724074
0.76026542,0.86232657,0.13767343
0.76152206,0.8618933,0.1381067
0.7627787,0.86145946,0.13854054
0.76403533,0.86102504,0.13897496
0.76529197,0.86059006,0.13940994
0.76654861,0.86015451,0.13984549
0.76780524,0.85971839,0.14028161
0.76906188,0.85928171,0.14071829
0.77031852,0.85884445,0.14115555
0.77157516,0.85840663,0.14159337
0.77283179,0.85796824,0.14203176
0.77408843,0.85752929,0.14247071
0.77534507,0.85708977,0.14291023
0.7766017,0.85664969,0.14335031
0.77785834,0.85620905,0.14379095
0.77911498,0.85576784,0.14423216
0.78037162,0.85532607,0.14467393
0.78162825,0.85488374,0.14511626
0.78288489,0.85444085,0.14555915
0.78414153,0.8539974,0.1460026
0.78539816,0.85355339,0.14644661
0.7866548,0.85310882,0.14689118
0.78791144,0.8526637,0.1473363
0.78916807,0.85221802,0.14778198
0.79042471,0.85177178,0.14822822
0.79168135,0.85132498,0.14867502
0.79293799,0.85087764,0.14912236
0.79419462,0.85042973,0.14957027
0.79545126,0.84998128,0.15001872
0.7967079,0.84953227,0.15046773
0.79796453,0.84908271,0.15091729
0.79922117,0.8486326,0.1513674
0.80047781,0.84818194,0.15181806
0.80173445,0.84773072,0.15226928
0.80299108,0.84727896,0.15272104
0.80424772,0.84682665,0.15317335
0.80550436,0.8463738,0.1536262
0.80676099,0.84592039,0.15407961
0.80801763,0.84546644,0.15453356
0.80927427,0.84501195,0.15498805
0.8105309,0.8445569,0.1554431
0.81178754,0.84410132,0.15589868
0.81304418,0.84364519,0.15635481
0.81430082,0.84318852,0.15681148
0.81555745,0.84273131,0.15726869
0.81681409,0.84227355,0.15772645
0.81807073,0.84181526,0.15818474
0.81932736,0.84135642,0.15864358
0.820584,0.84089705,0.15910295
0.82184064,0.84043714,0.15956286
0.82309728,0.83997669,0.16002331
0.82435391,0.8395157,0.1604843
0.82561055,0.83905418,0.16094582
0.82686719,0.83859212,0.16140788
0.82812382,0.83812953,0.16187047
0.82938046,0.8376664,0.1623336
0.8306371,0.83720274,0.16279726
0.83189373,0.83673855,0.16326145
0.83315037,0.83627383,0.16372617
0.83440701,0.83580857,0.16419143
0.83566365,0.83534279,0.16465721
0.83692028,0.83487647,0.16512353
0.83817692,0.83440963,0.16559037
0.83943356,0.83394226,0.16605774
0.84069019,0.83347436,0.16652564
0.84194683,0.83300593,0.16699407
0.84320347,0.83253698,0.16746302
0.84446011,0.83206751,0.16793249
0.84571674,0.8315975,0.1684025
0.84697338,0.83112698,0.16887302
0.84823002,0.83065593,0.16934407
0.84948665,0.83018436,0.16981564
0.85074329,0.82971227,0.17028773
0.85199993,0.82923966,0.17076034
0.85325656,0.82876653,0.17123347
0.8545132,0.82829288,0.17170712
0.85576984,0.82781871,0.17218129
0.85702648,0.82734402,0.17265598
0.85828311,0.82686882,0.17313118
0.85953975,0.8263931,0.1736069
0.86079639,0.82591686,0.17408314
0.86205302,0.82544011,0.17455989
0.86330966,0.82496285,0.17503715
0.8645663,0.82448507,0.17551493
0.86582294,0.82400678,0.17599322
0.86707957,0.82352798,0.17647202
0.86833621,0.82304867,0.17695133
0.86959285,0.82256885,0.17743115
0.87084948,0.82208851,0.17791149
0.87210612,0.82160767,0.17839233
0.87336276,0.82112633,0.17887367
0.87461939,0.82064447,0.17935553
0.87587603,0.82016211,0.17983789
0.87713267,0.81967924,0.18032076
0.87838931,0.81919587,0.18080413
0.87964594,0.81871199,0.18128801
0.88090258,0.81822762,0.18177238
0.88215922,0.81774273,0.18225727
0.88341585,0.81725735,0.18274265
0.88467249,0.81677147,0.18322853
0.88592913,0.81628508,0.18371492
0.88718577,0.8157982,0.1842018
0.8884424,0.81531081,0.18468919
0.88969904,0.81482293,0.18517707
0.89095568,0.81433456,0.18566544
0.89221231,0.81384568,0.18615432
0.89346895,0.81335631,0.18664369
0.89472559,0.81286645,0.18713355
0.89598222,0.81237609,0.18762391
0.89723886,0.81188523,0.18811477
0.8984955,0.81139389,0.18860611
0.89975214,0.81090205,0.18909795
0.90100877,0.81040973,0.18959027
0.90226541,0.80991691,0.19008309
0.90352205,0.8094236,0.1905764
0.90477868,0.80892981,0.19107019
0.90603532,0.80843552,0.19156448
0.90729196,0.80794075,0.19205925
0.9085486,0.8074455,0.1925545
0.90980523,0.80694975,0.19305025
0.91106187,0.80645353,0.19354647
0.91231851,0.80595682,0.19404318
0.91357514,0.80545962,0.19454038
0.91483178,0.80496195,0.19503805
0.91608842,0.80446379,0.19553621
0.91734505,0.80396515,0.19603485
0.91860169,0.80346603,0.19653397
0.91985833,0.80296643,0.19703357
0.92111497,0.80246636,0.19753364
0.9223716,0.8019658,0.1980342
0.92362824,0.80146477,0.19853523
0.92488488,0.80096326,0.19903674
0.92614151,0.80046128,0.19953872
0.92739815,0.79995883,0.20004117
0.92865479,0.79945589,0.20054411
0.92991143,0.79895249,0.20104751
0.93116806,0.79844862,0.20155138
0.9324247,0.79794427,0.20205573
0.93368134,0.79743945,0.20256055
0.93493797,0.79693417,0.20306583
0.93619461,0.79642841,0.20357159
0.93745125,0.79592219,0.20407781
0.93870788,0.7954155,0.2045845
0.93996452,0.79490834,0.20509166
0.94122116,0.79440071,0.20559929
0.9424778,0.79389263,0.20610737
0.94373443,0.79338407,0.20661593
0.94499107,0.79287506,0.20712494
0.94624771,0.79236558,0.20763442
0.94750434,0.79185564,0.20814436
0.94876098,0.79134524,0.20865476
0.95001762,0.79083438,0.20916562
0.95127426,0.79032306,0.20967694
0.95253089,0.78981128,0.21018872
0.95378753,0.78929904,0.21070096
0.95504417,0.78878635,0.21121365
0.9563008,0.7882732,0.2117268
0.95755744,0.7877596,0.2122404
0.95881408,0.78724554,0.21275446
0.96007071,0.78673103,0.21326897
0.96132735,0.78621606,0.21378394
0.96258399,0.78570065,0.21429935
0.96384063,0.78518478,0.21481522
0.96509726,0.78466846,0.21533154
0.9663539,0.78415169,0.21584831
0.96761054,0.78363447,0.21636553
0.96886717,0.78311681,0.21688319
0.97012381,0.7825987,0.2174013
