wavelength_nm,normalized_power
1521.475,0.07153397
1521.5,0.07183632
1521.525,0.07213969
1521.55,0.07244407
1521.575,0.07274946
1521.6,0.07305588
1521.625,0.07336331
1521.65,0.07367176
1521.675,0.07398124
1521.7,0.07429174
1521.725,0.07460326
1521.75,0.07491582
1521.775,0.07522941
1521.8,0.07554403
1521.825,0.07585969
1521.85,0.07617638
1521.875,0.07649412
1521.9,0.07681289
1521.925,0.07713271
1521.95,0.07745357
1521.975,0.07777549
1522.0,0.07809844
1522.025,0.07842246
1522.05,0.07874752
1522.075,0.07907364
1522.1,0.07940081
1522.125,0.07972905
1522.15,0.08005834
1522.175,0.0803887
1522.2,0.08072012
1522.225,0.08105261
1522.25,0.08138617
1522.275,0.0817208
1522.3,0.0820565
1522.325,0.08239327
1522.35,0.08273112
1522.375,0.08307005
1522.4,0.08341006
1522.425,0.08375115
1522.45,0.08409333
1522.475,0.08443659
1522.5,0.08478094
1522.525,0.08512638
1522.55,0.08547291
1522.575,0.08582053
1522.6,0.08616925
1522.625,0.08651906
1522.65,0.08686997
1522.675,0.08722199
1522.7,0.08757511
1522.725,0.08792933
1522.75,0.08828465
1522.775,0.08864109
1522.8,0.08899863
1522.825,0.08935729
1522.85,0.08971706
1522.875,0.09007795
1522.9,0.09043995
1522.925,0.09080307
1522.95,0.09116732
1522.975,0.09153268
1523.0,0.09189917
1523.025,0.09226679
1523.05,0.09263553
1523.075,0.09300541
1523.1,0.09337641
1523.125,0.09374855
1523.15,0.09412183
1523.175,0.09449624
1523.2,0.09487179
1523.225,0.09524848
1523.25,0.09562631
1523.275,0.09600528
1523.3,0.0963854
1523.325,0.09676667
1523.35,0.09714909
1523.375,0.09753265
1523.4,0.09791737
1523.425,0.09830325
1523.45,0.09869028
1523.475,0.09907846
1523.5,0.09946781
1523.525,0.09985831
1523.55,0.10024998
1523.575,0.10064281
1523.6,0.10103681
1523.625,0.10143198
1523.65,0.10182831
1523.675,0.10222582
1523.7,0.1026245
1523.725,0.10302435
1523.75,0.10342537
1523.775,0.10382758
1523.8,0.10423096
1523.825,0.10463552
1523.85,0.10504127
1523.875,0.10544819
1523.9,0.10585631
1523.925,0.1062656
1523.95,0.10667609
1523.975,0.10708777
1524.0,0.10750064
1524.025,0.1079147
1524.05,0.10832995
1524.075,0.1087464
1524.1,0.10916405
1524.125,0.1095829
1524.15,0.11000294
1524.175,0.11042419
1524.2,0.11084664
1524.225,0.1112703
1524.25,0.11169516
1524.275,0.11212123
1524.3,0.11254851
1524.325,0.112977
1524.35,0.1134067
1524.375,0.11383762
1524.4,0.11426975
1524.425,0.11470309
1524.45,0.11513766
1524.475,0.11557344
1524.5,0.11601044
1524.525,0.11644867
1524.55,0.11688811
1524.575,0.11732879
1524.6,0.11777068
1524.625,0.11821381
1524.65,0.11865816
1524.675,0.11910375
1524.7,0.11955056
1524.725,0.11999861
1524.75,0.12044789
1524.775,0.1208984
1524.8,0.12135015
1524.825,0.12180314
1524.85,0.12225737
1524.875,0.12271284
1524.9,0.12316955
1524.925,0.1236275
1524.95,0.1240867
1524.975,0.12454714
1525.0,0.12500883
1525.025,0.12547176
1525.05,0.12593594
1525.075,0.12640138
1525.1,0.12686806
1525.125,0.127336
1525.15,0.12780519
1525.175,0.12827563
1525.2,0.12874733
1525.225,0.12922029
1525.25,0.1296945
1525.275,0.13016997
1525.3,0.1306467
1525.325,0.1311247
1525.35,0.13160395
1525.375,0.13208447
1525.4,0.13256626
1525.425,0.1330493
1525.45,0.13353362
1525.475,0.1340192
1525.5,0.13450605
1525.525,0.13499417
1525.55,0.13548356
1525.575,0.13597422
1525.6,0.13646616
1525.625,0.13695936
1525.65,0.13745385
1525.675,0.1379496
1525.7,0.13844663
1525.725,0.13894494
1525.75,0.13944453
1525.775,0.1399454
1525.8,0.14044754
1525.825,0.14095097
1525.85,0.14145567
1525.875,0.14196166
1525.9,0.14246894
1525.925,0.14297749
1525.95,0.14348733
1525.975,0.14399846
1526.0,0.14451087
1526.025,0.14502457
1526.05,0.14553956
1526.075,0.14605584
1526.1,0.1465734
1526.125,0.14709226
1526.15,0.14761241
1526.175,0.14813384
1526.2,0.14865658
1526.225,0.1491806
1526.25,0.14970592
1526.275,0.15023253
1526.3,0.15076043
1526.325,0.15128963
1526.35,0.15182013
1526.375,0.15235193
1526.4,0.15288502
1526.425,0.15341941
1526.45,0.1539551
1526.475,0.15449208
1526.5,0.15503037
1526.525,0.15556996
1526.55,0.15611084
1526.575,0.15665303
1526.6,0.15719652
1526.625,0.15774132
1526.65,0.15828741
1526.675,0.15883481
1526.7,0.15938351
1526.725,0.15993352
1526.75,0.16048483
1526.775,0.16103745
